,Energy,Power,Resistance,For-Rev
CSm,-1.153024713506672,3.2951289378794777,0.40346420537923894,2.857812300000001
ACONTm,-1.15466080902632,3.299805464625759,0.40403641568221604,2.8578137000000003
ICDHxm,-1.0794597100445031,3.0848532990706463,0.37772733456414953,2.85777512
AKGDam,-1.079471602240725,3.084916820045361,0.37772774230118306,2.857802999999999
SUCOASm,-1.1546557663828902,3.2997355347926502,0.40404119957629575,2.8577664999999994
SUCD1m,-1.154625194812715,3.2995264733480116,0.4040456869212071,2.857660100000001
FUMm,-1.1545296920322663,3.2988680887196353,0.4040595104927272,2.8573261
MDHm,-1.1528141324553154,3.2927514125993427,0.40360779566381577,2.856272900000001
GAPD,-1.0500573468317356,3.0008680753547026,0.36743364024585545,2.8578142269523004
PGK,-1.1523043869569776,3.293070793880008,0.40321194688092254,2.857813199999999
TPI,-0.35691121602428505,0.5099933906898314,0.24977923047791648,1.4289074885890005
FBA,-0.35691051618941083,0.5099922956302148,0.24977904375831494,1.428906488592
PYK,-1.050056297078139,3.000824706270312,0.3674381173983264,2.857776165210001
PGM,-1.0970313730125567,3.1350789570614856,0.38387484300306707,2.8577840999999995
ENO,-1.0500653949060328,3.0008398734136232,0.36744277895436733,2.8577652596000007
HEX1,-0.35690981635404684,18.116184321624466,8.87276140487925,1.428906999986109
PGI,-0.6644668023909808,0.9494618048339248,0.4650173377404709,1.4289077
PFK,-0.35690981635404684,18.11618414076243,8.872761316298474,1.428906999986109
PYRt2m,-1.0500426501811022,3.0007744917037913,0.367434851481338,2.8577649551140007
PDHm,-1.050484854844401,3.0033335975071496,0.36743102306339603,2.8589981624100003
